Country,Year,Status,Continent,Life expectancy ,Adult Mortality,infant deaths,Alcohol,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,GDP,Population
Albania,2012,Developing,Europe,76.9,86,0,5.14,99,9,55.8,1,99,99,0.1,4247.61438,2941
Albania,2011,Developing,Europe,76.6,88,0,5.37,99,28,55.1,1,99,99,0.1,4437.17868,295195
Albania,2010,Developing,Europe,76.2,91,1,5.28,99,10,54.3,1,99,99,0.1,494.358832,291321
Albania,2009,Developing,Europe,76.1,91,1,5.79,98,0,53.5,1,98,98,0.1,4114.136545,2927519
Albania,2008,Developing,Europe,75.3,1,1,5.61,99,0,52.6,1,99,99,0.1,437.539647,2947314
Albania,2007,Developing,Europe,75.9,9,1,5.58,98,22,51.7,1,99,98,0.1,363.13685,29717
Albania,2006,Developing,Europe,74.2,99,1,5.31,98,68,5.8,1,97,97,0.1,35.1293,2992547
Albania,2005,Developing,Europe,73.5,15,1,5.16,98,6,49.9,1,97,98,0.1,279.142931,311487
Albania,2004,Developing,Europe,73,17,1,4.54,99,7,48.9,1,98,97,0.1,2416.588235,326939
Albania,2003,Developing,Europe,72.8,18,1,4.29,97,8,47.9,1,97,97,0.1,189.681557,339616
Albania,2002,Developing,Europe,73.3,15,1,3.73,96,16,46.9,1,98,98,0.1,1453.642777,3511
Albania,2001,Developing,Europe,73.6,14,1,4.25,96,18,46,1,97,97,0.1,1326.97339,36173
Albania,2000,Developing,Europe,72.6,11,1,3.66,96,662,45,1,97,97,0.1,1175.788981,38927
Algeria,2015,Developing,Africa,75.6,19,21,0.93,95,3074,59.5,24,95,95,0.1,4132.76292,39871528
Algeria,2014,Developing,Africa,75.4,11,21,0.01,95,743,58.4,24,95,95,0.1,547.8517,39113313
Algeria,2013,Developing,Africa,75.3,112,21,0.53,95,56,57.2,24,95,95,0.1,5471.866766,38338562
Algeria,2012,Developing,Africa,75.1,113,21,0.66,95,18,56.1,24,95,95,0.1,5564.82566,37565847
Algeria,2011,Developing,Africa,74.9,116,21,0.56,95,112,55,24,95,95,0.1,5432.2523,36819558
Algeria,2010,Developing,Africa,74.7,119,21,0.45,95,103,53.9,24,95,95,0.1,4463.394675,36117637
Algeria,2009,Developing,Africa,74.4,123,20,0.5,94,107,52.8,23,94,95,0.1,3868.83123,3546576
Algeria,2008,Developing,Africa,74.1,126,20,0.46,91,126,51.8,23,92,93,0.1,495.254866,3486715
Algeria,2007,Developing,Africa,73.8,129,20,0.44,90,144,5.8,23,95,95,0.1,3935.183343,34376
Algeria,2006,Developing,Africa,73.4,132,20,0.36,85,113,49.8,23,95,95,0.1,3464.6179,33777915
Algeria,2005,Developing,Africa,72.9,136,19,0.5,83,125,48.9,22,88,88,0.1,31.122378,33288437
Algeria,2004,Developing,Africa,72.3,14,19,0.45,81,147,47.9,23,86,86,0.1,2598.9823,3283196
Algeria,2003,Developing,Africa,71.7,146,20,0.34,71,166,47,23,87,87,0.1,294.33556,3243514
Algeria,2002,Developing,Africa,71.6,145,20,0.36,61,71,46.1,23,86,86,0.1,1774.33673,3199546
Algeria,2001,Developing,Africa,71.4,145,20,0.23,47,146,45.3,24,89,89,0.1,1732.857979,31592153
Algeria,2000,Developing,Africa,71.3,145,21,0.25,37,2249,44.4,25,86,86,0.1,1757.17797,3118366
Angola,2015,Underdeveloped,Africa,52.4,335,66,9.25,64,118,23.3,98,7,64,1.9,3695.793748,2785935
Angola,2014,Underdeveloped,Africa,51.7,348,67,8.33,64,11699,22.7,101,68,64,2,479.31224,2692466
Angola,2013,Underdeveloped,Africa,51.1,355,69,8.1,77,8523,22.1,105,67,77,2.3,484.616884,2599834
Angola,2012,Underdeveloped,Africa,56,358,72,8.24,75,4458,21.5,110,75,75,2.6,4598.249988,259615
Angola,2011,Underdeveloped,Africa,51,361,75,8.06,72,1449,21,115,73,71,2.5,4299.12889,24218565
Angola,2010,Underdeveloped,Africa,49.6,365,78,7.8,77,1190,2.4,121,81,77,2.5,3529.53482,23369131
Angola,2009,Underdeveloped,Africa,49.1,369,81,7.01,61,2807,19.8,127,63,6,2.5,3347.84485,22549547
Angola,2008,Underdeveloped,Africa,48.7,371,84,7.07,69,265,19.3,133,65,69,2.6,3868.578883,2175942
Angola,2007,Underdeveloped,Africa,48.2,375,87,6.35,73,1014,18.8,138,75,73,2.6,2878.837144,2997687
Angola,2006,Underdeveloped,Africa,47.7,381,90,5.84,70,765,18.2,143,36,34,2.5,262.415149,2262399
Angola,2005,Underdeveloped,Africa,47.4,382,92,5.04,64,258,17.7,148,39,38,2.6,1443.991929,19552542
Angola,2004,Underdeveloped,Africa,47.1,386,94,3.53,54,29,17.2,152,4,4,2.5,141.86844,18865716
Angola,2003,Underdeveloped,Africa,46.8,388,95,3.49,45,1196,16.8,155,4,4,2.4,779.468356,1823369
Angola,2002,Underdeveloped,Africa,46.5,391,96,2.82,32,11945,16.3,157,37,41,2.3,711.181716,17572649
Angola,2001,Underdeveloped,Africa,45.7,44,97,2.58,24,9046,15.8,159,41,38,2.1,526.168743,16983266
Angola,2000,Underdeveloped,Africa,45.3,48,97,1.85,12,2219,15.4,160,3,28,2,555.2969419,1644924
Antigua and Barbuda,2015,Developing,North America,76.4,13,9,7.38,99,0,47.7,0,86,99,0.2,13566.9541,48543
Antigua and Barbuda,2014,Developing,North America,76.2,131,9,8.56,99,0,47,0,96,99,0.2,12888.29667,48060
Antigua and Barbuda,2013,Developing,North America,76.1,133,9,8.58,99,0,46.4,0,98,99,0.2,12224.86416,47559
Antigua and Barbuda,2012,Developing,North America,75.9,134,8,8.18,98,0,45.7,0,97,98,0.2,12565.44197,47034
Antigua and Barbuda,2011,Developing,North America,75.7,136,8,7.84,99,0,45.1,0,99,99,0.1,11929.34991,46487
Antigua and Barbuda,2010,Developing,North America,75.6,138,8,7.84,98,0,44.4,0,99,98,0.1,12126.87614,45912
Antigua and Barbuda,2009,Developing,North America,75.4,14,8,7.82,98,0,43.8,0,98,99,0.1,1312.46692,45229
Antigua and Barbuda,2008,Developing,North America,75.2,142,7,8.27,98,0,43.2,0,99,99,0.1,1473.31923,44663
Antigua and Barbuda,2007,Developing,North America,75,144,7,8.64,97,0,42.6,0,98,99,0.1,14252.29452,44012
Antigua and Barbuda,2006,Developing,North America,74.8,145,7,8.93,99,0,42,0,99,99,0.1,12724.39377,43401
Antigua and Barbuda,2005,Developing,North America,74.6,147,7,8.15,99,0,41.4,0,98,99,0.1,11371.93895,42832
Antigua and Barbuda,2004,Developing,North America,74.4,149,7,7.28,97,0,4.8,0,97,97,0.1,1352.8374,42338
Antigua and Barbuda,2003,Developing,North America,74.2,151,6,7.16,99,0,4.1,0,99,99,0.1,9739.82556,41886
Antigua and Barbuda,2002,Developing,North America,74,153,6,7.21,99,0,39.5,0,93,98,0.1,9386.716452,41444
Antigua and Barbuda,2001,Developing,North America,73.8,154,6,7.51,96,0,38.9,0,99,97,0.1,9358.154162,40924
Antigua and Barbuda,2000,Developing,North America,73.6,156,6,7.27,96,0,38.2,0,96,95,0.1,9875.161736,40297
Argentina,2015,Developing,South America,76.3,116,8,7.96,94,0,62.8,9,93,94,0.1,13467.1236,43417765
Argentina,2014,Developing,South America,76.2,118,8,7.93,94,1,62.2,9,92,94,0.1,12245.25645,42981515
Argentina,2013,Developing,South America,76,119,8,8.28,94,0,61.6,10,99,94,0.1,12976.63642,42539925
Argentina,2012,Developing,South America,75.9,12,9,8.35,91,2,61,10,99,91,0.1,12969.7712,4296739
Argentina,2011,Developing,South America,75.7,12,9,8.11,91,3,6.4,10,93,91,0.1,12726.9836,41656879
Argentina,2010,Developing,South America,75.5,121,10,8.15,94,17,59.8,11,95,94,0.1,1276.265,41223889
Argentina,2009,Developing,South America,75.6,126,10,8.33,94,3,59.2,11,97,94,0.1,8161.36966,479947
Argentina,2008,Developing,South America,75.4,126,10,8.41,92,0,58.6,11,94,93,0.1,8953.359275,4382389
Argentina,2007,Developing,South America,74.8,129,10,8.16,85,0,58,12,92,91,0.1,7193.61764,3997224
Argentina,2006,Developing,South America,75.2,127,11,7.75,84,0,57.5,12,92,91,0.1,5878.76127,3955889
Argentina,2005,Developing,South America,74.9,127,11,7.53,88,0,56.9,12,95,98,0.1,576.883829,39145488
Argentina,2004,Developing,South America,74.7,13,11,7.63,81,0,56.3,12,91,98,0.1,4251.574348,38728696
Argentina,2003,Developing,South America,74.1,137,11,7.62,73,0,55.7,13,95,96,0.1,333.4376,3839379
Argentina,2002,Developing,South America,74.1,138,12,7.81,66,0,55.1,13,94,93,0.1,2579.193168,3788937
Argentina,2001,Developing,South America,74,138,12,7.76,63,0,54.6,13,85,83,0.1,717.694674,3747159
Argentina,2000,Developing,South America,74.1,137,12,7.68,61,6,54,14,88,83,0.1,7669.273916,3757452
Armenia,2015,Developing,Asia,74.8,118,1,4.98,94,33,54.9,1,96,94,0.1,369.654776,291695
Armenia,2014,Developing,Asia,74.6,12,1,3.91,93,13,54.1,1,95,93,0.1,3994.712355,29622
Armenia,2013,Developing,Asia,74.4,123,1,3.79,95,10,53.3,1,96,95,0.1,3843.591213,289359
Armenia,2012,Developing,Asia,74.4,121,1,3.89,95,0,52.6,1,96,95,0.1,3684.8481,2881922
Armenia,2011,Developing,Asia,73.9,128,1,4.09,95,0,51.9,1,96,95,0.1,3526.978143,2875581
Armenia,2010,Developing,Asia,73.5,132,1,4.23,94,2,51.2,1,96,94,0.1,3218.381655,2877311
Armenia,2009,Developing,Asia,73.3,137,1,3.96,93,0,5.7,1,94,93,0.1,2993.832531,2888584
Armenia,2008,Developing,Asia,73.2,14,1,3.96,89,0,5.1,1,91,89,0.1,41.26997,29822
Armenia,2007,Developing,Asia,73.5,132,1,3.99,85,1,49.7,1,90,88,0.1,3138.8873,293356
Armenia,2006,Developing,Asia,72.9,141,1,4.01,78,137,49.2,1,87,87,0.1,2158.299,29585
Armenia,2005,Developing,Asia,73,137,1,4.25,91,2281,48.8,1,92,9,0.1,1643.758397,2981259
Armenia,2004,Developing,Asia,73,132,1,3.81,91,1783,48.4,1,93,91,0.1,1191.96192,3612
Armenia,2003,Developing,Asia,72.7,134,1,3.03,93,4,48.1,1,96,94,0.1,93.1661567,31786
Armenia,2002,Developing,Asia,72.6,134,1,2.86,91,40,47.8,1,96,94,0.1,783.261699,333897
Armenia,2001,Developing,Asia,72.6,141,1,2.86,69,69,47.4,1,97,94,0.1,694.435119,35655
Armenia,2000,Developing,Asia,72,142,1,2.9,55,15,47.1,1,96,93,0.1,622.7427477,369588
Australia,2015,Developed,Australia,82.8,59,1,9.71,93,74,66.6,1,93,93,0.1,56554.3876,23789338
Australia,2014,Developed,Australia,82.7,6,1,9.71,91,340,66.1,1,92,92,0.1,62214.6912,2346694
Australia,2013,Developed,Australia,82.5,61,1,9.87,91,158,65.5,1,91,91,0.1,67792.3386,23117353
Australia,2012,Developed,Australia,82.3,61,1,10.03,91,199,65,1,92,92,0.1,67677.63477,22728254
Australia,2011,Developed,Australia,82,63,1,10.3,92,190,64.4,1,92,92,0.1,62245.129,223424
Australia,2010,Developed,Australia,81.9,64,1,10.52,92,70,63.9,1,92,92,0.1,51874.848,223175
Australia,2009,Developed,Australia,81.7,66,1,10.62,94,104,63.4,1,92,92,0.1,42742.99898,216917
Australia,2008,Developed,Australia,81.3,66,1,10.76,94,65,62.9,1,92,92,0.1,49664.6854,212492
Australia,2007,Developed,Australia,81.3,66,1,10.56,94,11,62.5,2,92,92,0.1,4991.98289,28276
Australia,2006,Developed,Australia,81.2,66,1,10.31,95,0,62,2,92,92,0.1,36118.28381,26979
Australia,2005,Developed,Australia,81,67,1,10.3,95,10,61.5,2,92,92,0.1,3416.71483,23948
Australia,2004,Developed,Australia,86,69,1,9.84,95,70,6.9,1,92,92,0.1,3472.37977,21274
Australia,2003,Developed,Australia,83,71,1,9.97,95,91,6.3,1,92,93,0.1,23465.38559,198954
Australia,2002,Developed,Australia,79.9,73,1,9.84,95,32,59.6,2,92,92,0.1,281.81763,196514
Australia,2001,Developed,Australia,79.9,75,1,9.53,94,141,59,2,91,92,0.1,19517.84168,19413
Australia,2000,Developed,Australia,79.5,78,1,10.17,94,108,58.2,2,9,9,0.1,2169.921,19153
Austria,2015,Developed,Europe,81.5,65,0,12.32,93,309,57.6,0,93,93,0.1,43665.947,8633169
Austria,2014,Developed,Europe,81.4,66,0,12.32,98,117,57.1,0,98,98,0.1,51322.63997,8541575
Austria,2013,Developed,Europe,81.1,68,0,11.82,95,0,56.6,0,95,95,0.1,554.71532,8479375
Austria,2012,Developed,Europe,88,7,0,12.26,92,36,56.1,0,92,92,0.1,48333.57273,8429991
Austria,2011,Developed,Europe,88,73,0,12.04,89,68,55.7,0,89,89,0.1,51126.74139,8391643
Austria,2010,Developed,Europe,84,75,0,12.1,86,52,55.2,0,86,86,0.1,46657.629,836344
Austria,2009,Developed,Europe,82,77,0,11.3,83,49,54.7,0,83,83,0.1,47654.18721,8343323
Austria,2008,Developed,Europe,84,76,0,12,83,448,54.2,0,83,83,0.1,51386.37665,8321496
Austria,2007,Developed,Europe,81,8,0,12.5,85,20,53.7,0,85,85,0.1,46586.6525,8295487
Austria,2006,Developed,Europe,79.8,81,0,12.4,83,23,53.2,0,83,83,0.1,443.99361,8268641
Austria,2005,Developed,Europe,79.4,85,0,12.4,86,9,52.7,0,86,86,0.1,38242.4252,8227829
Austria,2004,Developed,Europe,79.3,86,0,12.1,83,15,52.2,0,83,83,0.1,36693.4262,8171966
Austria,2003,Developed,Europe,78.8,88,0,12.2,83,90,51.7,0,84,84,0.1,3212.9355,8121423
Austria,2002,Developed,Europe,78.7,9,0,12.5,81,0,51.2,0,82,83,0.1,26351.37568,881957
Austria,2001,Developed,Europe,78.6,92,0,12.4,44,0,5.6,0,83,84,0.1,24489.73553,842293
Austria,2000,Developed,Europe,78.1,96,0,13.2,33,0,5.1,0,71,81,0.1,24517.26745,811566
Azerbaijan,2015,Developing,Asia,72.7,118,5,0.01,96,0,52.5,6,98,96,0.1,55.31382,9649341
Azerbaijan,2014,Developing,Asia,72.5,119,5,0.01,94,0,51.5,6,97,94,0.1,7891.299776,953579
Azerbaijan,2013,Developing,Asia,72.2,121,5,2.14,93,164,5.6,6,96,93,0.1,7875.756953,941681
Azerbaijan,2012,Developing,Asia,71.9,123,5,0.01,88,0,49.7,6,92,89,0.1,7496.335728,9295784
Azerbaijan,2011,Developing,Asia,71.6,125,5,1.98,84,0,48.8,6,91,87,0.1,7189.691229,917382
Azerbaijan,2010,Developing,Asia,71.1,13,5,1.98,8,0,48,6,85,81,0.1,5842.85784,954332
Azerbaijan,2009,Developing,Asia,78,132,6,2.1,74,0,47.3,6,84,81,0.1,495.294791,8947243
Azerbaijan,2008,Developing,Asia,73,141,6,1.18,68,5,46.6,6,85,81,0.1,5574.6382,87634
Azerbaijan,2007,Developing,Asia,73,14,6,1.02,62,0,45.9,7,81,79,0.1,3851.437869,85813
Azerbaijan,2006,Developing,Asia,69.2,154,6,0.85,59,222,45.3,7,8,78,0.1,2473.85776,848455
Azerbaijan,2005,Developing,Asia,68.4,162,6,0.73,59,1238,44.7,7,79,75,0.1,1578.4239,839185
Azerbaijan,2004,Developing,Asia,68.4,154,6,0.62,54,827,44.2,8,78,77,0.1,145.2163,8365
Azerbaijan,2003,Developing,Asia,67.8,154,7,0.55,54,1978,43.6,8,79,77,0.1,883.6439965,82341
Azerbaijan,2002,Developing,Asia,67.8,146,7,0.55,54,4353,43.1,9,8,76,0.1,763.73858,817195
Azerbaijan,2001,Developing,Asia,67.5,151,8,0.51,53,574,42.6,10,77,77,0.1,73.6838434,81112
Azerbaijan,2000,Developing,Asia,66.6,16,9,0.65,53,210,42.1,11,75,76,0.1,655.974326,8486
Bahrain,2015,Developing,Asia,76.9,69,0,1.57,98,0,63.6,0,98,98,0.1,22688.87824,1314089
Bahrain,2014,Developing,Asia,76.8,7,0,1.57,98,46,62.9,0,98,98,0.1,24983.3792,897641
Bahrain,2013,Developing,Asia,76.7,7,0,1.65,99,0,62.2,0,99,99,0.1,251.18329,880181
Bahrain,2012,Developing,Asia,76.5,71,0,1.7,99,0,61.5,0,99,99,0.1,23649.36661,860330
Bahrain,2011,Developing,Asia,76.1,76,0,1.66,99,0,6.8,0,99,99,0.1,2281.1242,839117
Bahrain,2010,Developing,Asia,76.1,73,0,1.93,99,0,6.1,0,99,99,0.1,2722.1389,816041
Bahrain,2009,Developing,Asia,76,74,0,1.95,98,3,59.3,0,97,98,0.1,19356.67236,791483
Bahrain,2008,Developing,Asia,75.8,76,0,2,97,2,58.5,0,97,97,0.1,2367.56535,774635
Bahrain,2007,Developing,Asia,75.6,77,0,2,97,7,57.6,0,97,97,0.1,2977.1153,759542
Bahrain,2006,Developing,Asia,75.5,79,0,2.1,98,3,56.8,0,98,98,0.1,1937.99549,744635
Bahrain,2005,Developing,Asia,75.3,81,0,2.05,98,4,56.1,0,98,98,0.1,17959.17854,729005
Bahrain,2004,Developing,Asia,75.2,83,0,2.16,98,11,55.6,0,98,98,0.1,15846.47641,713289
Bahrain,2003,Developing,Asia,75,85,0,2.16,98,12,55.2,0,97,97,0.1,14221.99259,6975111
Bahrain,2002,Developing,Asia,74.9,87,0,1.99,98,8,55,0,98,98,0.1,1312.33457,681817
Bahrain,2001,Developing,Asia,74.7,9,0,1.95,99,5,54.8,0,99,99,0.1,12868.211,666172
Bahrain,2000,Developing,Asia,74.5,92,0,2.15,97,6,54.5,0,97,97,0.1,13636.34668,650609
Bangladesh,2015,Underdeveloped,Asia,71.8,129,92,0.01,97,240,18.3,113,97,97,0.1,121.15812,1612886
Bangladesh,2014,Underdeveloped,Asia,71.4,132,98,0.01,97,289,17.7,121,97,97,0.1,184.56543,15945279
Bangladesh,2013,Underdeveloped,Asia,71,135,104,0.01,96,237,17,130,96,96,0.1,951.8894535,157571292
Bangladesh,2012,Underdeveloped,Asia,77,137,111,0.01,94,1986,16.4,139,94,94,0.1,856.342857,15572753
Bangladesh,2011,Underdeveloped,Asia,73,14,118,0.01,96,5625,15.8,150,96,96,0.1,835.789341,153911916
Bangladesh,2010,Underdeveloped,Asia,69.9,142,126,0.01,94,788,15.2,161,94,94,0.1,757.6717572,15214912
Bangladesh,2009,Underdeveloped,Asia,69.5,144,135,0.01,97,718,14.6,173,97,97,0.1,681.125368,1545478
Bangladesh,2008,Underdeveloped,Asia,69.1,147,144,0.01,96,2660,14,186,96,96,0.1,615.7775411,14885814
Bangladesh,2007,Underdeveloped,Asia,68.6,151,154,0.01,95,2924,13.5,201,96,94,0.1,541.651484,147139191
Bangladesh,2006,Underdeveloped,Asia,68.2,152,164,0.01,86,6192,13,215,95,94,0.1,494.51466,1453684
Bangladesh,2005,Underdeveloped,Asia,67.8,155,174,0.01,45,25934,12.5,231,94,93,0.1,484.155471,14343111
Bangladesh,2004,Underdeveloped,Asia,67.3,158,185,0.01,11,9743,12,247,88,99,0.1,46.7579167,14137489
Bangladesh,2003,Underdeveloped,Asia,66.8,161,196,0.01,5,4067,11.6,264,9,87,0.1,432.7388972,139191
Bangladesh,2002,Underdeveloped,Asia,66.3,164,207,0.01,5,3484,11.2,280,83,83,0.1,4.6135745,1366667
Bangladesh,2001,Underdeveloped,Asia,65.8,168,219,0.01,5,4414,1.8,298,85,85,0.1,42.5981152,1341716
Bangladesh,2000,Underdeveloped,Asia,65.3,173,231,0.01,5,5098,1.4,316,83,82,0.1,45.63371,131581243
Belarus,2015,Developing,Europe,72,323,0,13.94,97,64,61.7,0,97,97,0.1,8318.429294,9474511
Belarus,2014,Developing,Europe,72,199,0,13.94,97,64,61.7,0,97,97,0.1,8318.429294,9474511
Belarus,2013,Developing,Europe,71.7,232,0,14.66,98,16,61.1,1,98,98,0.1,7978.825443,9465997
Belarus,2012,Developing,Europe,71.9,194,0,16.35,97,10,6.5,1,98,98,0.1,694.243915,9464495
Belarus,2011,Developing,Europe,72,232,0,17.31,98,50,59.9,1,98,98,0.1,6519.71753,9473172
Belarus,2010,Developing,Europe,73,222,0,14.44,96,1,59.3,1,99,98,0.1,63.38877,949583
Belarus,2009,Developing,Europe,70,226,0,14.09,98,0,58.7,1,98,96,0.1,5176.172649,956765
Belarus,2008,Developing,Europe,70,224,1,14.67,98,0,58.2,1,98,97,0.1,6376.183153,9527985
Belarus,2007,Developing,Europe,69.8,226,1,14.22,91,1,57.7,1,97,95,0.1,4735.484827,956953
Belarus,2006,Developing,Europe,68.9,243,1,12.6,98,149,57.2,1,97,99,0.1,3848.215966,964924
Belarus,2005,Developing,Europe,68.1,252,1,11.01,99,1,56.7,1,98,99,0.1,3126.71767,9663915
Belarus,2004,Developing,Europe,68.2,247,1,12.05,99,2,56.2,1,99,99,0.1,2378.33927,973146
Belarus,2003,Developing,Europe,67.7,253,1,11.17,56,21,55.8,1,53,99,0.1,1819.525644,9796749
Belarus,2002,Developing,Europe,67.2,262,1,12.23,99,14,55.3,1,99,99,0.1,1479.383142,9865548
Belarus,2001,Developing,Europe,67.7,254,1,10.74,93,45,54.9,1,99,99,0.1,1244.373185,9928549
Belarus,2000,Developing,Europe,68,247,1,12.98,7,21,54.4,1,99,99,0.1,1276.28834,997961
Belgium,2015,Developed,Europe,89,76,0,12.6,98,70,64,1,99,99,0.1,48439.39684,11190846
Belgium,2014,Developed,Europe,89,76,0,12.6,98,70,63.4,1,99,99,0.1,47439.39684,11142105
Belgium,2013,Developed,Europe,87,77,0,11.77,98,39,63,1,99,99,0.1,4651.38647,11099554
Belgium,2012,Developed,Europe,83,78,0,10.08,98,109,62.6,1,99,99,0.1,4474.5717,11035948
Belgium,2011,Developed,Europe,83,8,0,10.11,97,576,62.3,1,98,98,0.1,4772.77415,10951665
Belgium,2010,Developed,Europe,80,81,0,10.22,97,40,61.9,1,98,98,0.1,4438.23741,10839905
Belgium,2009,Developed,Europe,79.8,85,0,10.05,97,33,61.6,1,98,98,0.1,4488.5615,10750520
Belgium,2008,Developed,Europe,79.5,87,0,10.47,98,98,61.3,1,99,99,0.1,48424.58927,10666866
Belgium,2007,Developed,Europe,79.5,86,0,10.25,94,64,6.9,1,99,98,0.1,4443.83131,10584534
Belgium,2006,Developed,Europe,79.4,85,0,10.98,94,15,6.6,1,99,98,0.1,38852.3613,10511382
Belgium,2005,Developed,Europe,78.9,89,0,12.27,77,26,6.2,1,97,97,0.1,36967.28292,10445852
Belgium,2004,Developed,Europe,78.8,91,1,12.05,64,61,59.8,1,96,95,0.1,35589.71295,10396421
Belgium,2003,Developed,Europe,78.3,95,0,11.28,64,44,59.4,1,96,95,0.1,3743.95693,10350344
Belgium,2002,Developed,Europe,78,99,1,11.29,6,0,59,1,96,95,0.1,2552.3328,10309725
Belgium,2001,Developed,Europe,78,1,1,11.01,6,83,58.5,1,96,95,0.1,23121.56635,10263414
Belgium,2000,Developed,Europe,77.6,11,1,11.21,6,0,58.1,1,96,95,0.1,2327.4591,10239085
Belize,2015,Developing,North America,70,177,0,6.58,95,0,51.3,0,95,95,0.2,4952.223666,359871
Belize,2014,Developing,North America,70,177,0,6.58,95,0,51.3,0,95,95,0.2,4852.223666,351694
Belize,2013,Developing,North America,69.8,189,0,6.56,95,0,49.3,0,95,95,0.2,4688.538443,344181
Belize,2012,Developing,North America,69.4,189,0,6.66,98,0,48.5,0,98,98,0.1,4673.63848,336713
Belize,2011,Developing,North America,69.4,188,0,6.64,95,0,47.8,0,95,95,0.5,4516.24675,329192
Belize,2010,Developing,North America,69.5,186,0,6.76,96,0,47,0,96,96,0.2,4344.15177,321680
Belize,2009,Developing,North America,69.5,184,0,6.85,97,0,46.3,0,98,97,0.3,4258.788611,313929
Belize,2008,Developing,North America,69.6,181,0,7.22,94,0,45.7,0,94,94,0.1,447.22796,361651
Belize,2007,Developing,North America,69.6,181,0,7.24,96,0,45,0,97,96,0.6,4324.876427,298475
Belize,2006,Developing,North America,69.4,184,0,6.48,98,0,44.4,0,98,98,0.6,4187.3783,297473
Belize,2005,Developing,North America,69,191,0,6.25,96,0,43.8,0,96,96,0.8,3933.332215,283277
Belize,2004,Developing,North America,68.7,197,0,6.2,97,0,43.2,0,97,97,0.8,3831.53819,276898
Belize,2003,Developing,North America,68.4,21,0,5.67,96,0,42.6,0,95,96,1.5,3679.99523,269135
Belize,2002,Developing,North America,68.5,199,0,4.99,97,0,42,0,93,89,0.1,3556.561825,262260
Belize,2001,Developing,North America,68.2,21,0,4.9,96,0,41.4,0,96,96,0.4,3419.275719,254984
Belize,2000,Developing,North America,68.3,196,0,4.79,76,0,4.8,0,91,91,0.3,3364.423711,247315
Benin,2015,Underdeveloped,Africa,59.9,254,25,0.01,78,791,26.5,39,76,72,1.1,978.4562,11475632
Benin,2014,Underdeveloped,Africa,59.7,252,25,0.01,78,786,25.2,39,74,78,1.1,943.686575,11286712
Benin,2013,Underdeveloped,Africa,59.5,251,25,0.01,77,637,24.6,39,73,77,1.2,915.2674586,9414451
Benin,2012,Underdeveloped,Africa,59.3,251,25,0.01,8,288,24.1,39,8,8,1.3,837.9551,9372916
Benin,2011,Underdeveloped,Africa,59.1,251,25,1.4,75,426,23.5,39,77,75,1.4,825.9427854,9294682
Benin,2010,Underdeveloped,Africa,58.7,254,25,1.33,76,392,23,39,77,76,1.4,757.695974,9199259
